title,series,platform,genre,developer,publisher,rating,modes,year,release_eu,release_jp,release_na,plot
Alphabet Mix (Europe),,Atari ST,EDUCATIONAL,,Shoestring Software,OTHER_NOT_RATED,,1991,,,,
Alphamax (USA),,Atari ST,SHOOT_EM_UP,,New Dimensions,OTHER_NOT_RATED,,null,,,,
Alpine Games (Europe),,Atari ST,SPORTS_OLYMPIC,,Atlantis Software,OTHER_NOT_RATED,,1988,,,,
Altair (Europe),,Atari ST,SHOOT_EM_UP,,Ere Informatique,OTHER_NOT_RATED,,1987,,,,
Altered Beast (Europe),,Atari ST,BEAT_EM_UP,,Activision,OTHER_NOT_RATED,,1989,,,,
Alternate Reality - The City (USA),,Atari ST,ROLE_PLAYING,,Datasoft,OTHER_NOT_RATED,,1986,,,,
Amazeing (Europe) (Unl),,Atari ST,MAZE,,M. Lundberg,OTHER_NOT_RATED,,null,,,,
"Amazing Spiderman, The (Europe)",,Atari ST,PLATFORM,,Empire Software,OTHER_NOT_RATED,,1990,,,,
Amazon (Europe),,Atari ST,ADVENTURE,,Telarium,OTHER_NOT_RATED,,1985,,,,
Amberstar (Europe) (Disk 1),,Atari ST,ROLE_PLAYING,,Thalion,OTHER_NOT_RATED,,1992,,,,
Amberstar (Europe) (Disk 2),,Atari ST,ROLE_PLAYING,,Thalion,OTHER_NOT_RATED,,1992,,,,
Amberstar (Europe) (Disk 3),,Atari ST,ROLE_PLAYING,,Thalion,OTHER_NOT_RATED,,1992,,,,
AMC - Astro Marine Corps (Europe),,Atari ST,SHOOT_EM_UP,,Dinamic,OTHER_NOT_RATED,,1990,,,,
Ammotrack (Europe) (Unl),,Atari ST,DRIVING,,Dennis Publishing,OTHER_NOT_RATED,,1988,,,,
Anarchy (USA),,Atari ST,SHOOT_EM_UP,,Sizzlers,OTHER_NOT_RATED,,1992,,,,
Anarchy Academy (Europe) (Unl),,Atari ST,ROLE_PLAYING,,Aadwark Software,OTHER_NOT_RATED,,1992,,,,
"Ancient Art of War in the Skies, The (Europe) (Disk 1)",,Atari ST,STRATEGY,,MicroProse,OTHER_NOT_RATED,,1993,,,,
"Ancient Art of War in the Skies, The (Europe) (Disk 2)",,Atari ST,STRATEGY,,MicroProse,OTHER_NOT_RATED,,1993,,,,
"Ancient Art of War in the Skies, The (Europe) (Disk 3)",,Atari ST,STRATEGY,,MicroProse,OTHER_NOT_RATED,,1993,,,,
"Ancient Art of War in the Skies, The (Europe) (Disk 4)",,Atari ST,STRATEGY,,MicroProse,OTHER_NOT_RATED,,1993,,,,
Ancient Battles (Europe),,Atari ST,STRATEGY,,Cases Comnputer Simulations,OTHER_NOT_RATED,,1990,,,,
Ancient Games (Europe),,Atari ST,SPORTS_OLYMPIC,,Energize,OTHER_NOT_RATED,,1991,,,,
Andes Attack (Europe),,Atari ST,SHOOT_EM_UP,,Llamasoft,OTHER_NOT_RATED,,1988,,,,
Andromeda (Europe) (Unl),,Atari ST,SHOOT_EM_UP,,Adrian Keylock,OTHER_NOT_RATED,,null,,,,
Anduril (Europe) (Unl),,Atari ST,ACTION,,M. Dheus,OTHER_NOT_RATED,,1986,,,,
"Ange de Cristal, L' (France)",,Atari ST,ACTION,,Ere Informatique,OTHER_NOT_RATED,,1988,,,,
Angel Nieto Pole 500 (Europe),,Atari ST,RACING_MOTORBIKE,,Opera Sport,OTHER_NOT_RATED,,1990,,,,
Animal Kingdom (USA),,Atari ST,EDUCATIONAL,,Unicorn Software,OTHER_NOT_RATED,,1986,,,,
Annals Of Rome (Europe),,Atari ST,STRATEGY,,Mirrorsoft,OTHER_NOT_RATED,,1987,,,,
Annex (Europe),,Atari ST,ROLE_PLAYING,,LAPD,OTHER_NOT_RATED,,1992,,,,
Annihilator (Europe) (Unl),,Atari ST,SHOOT_EM_UP,,Budgie UK,OTHER_NOT_RATED,,1991,,,,
Another World (France),,Atari ST,ADVENTURE,,Delphine,OTHER_NOT_RATED,,1991,,,,
Antago (Europe),,Atari ST,BOARD_GAMES,,Art of Dreams,OTHER_NOT_RATED,,1990,,,,
Antago (France),,Atari ST,BOARD_GAMES,,Art of Dreams,OTHER_NOT_RATED,,1990,,,,
Apache Flight (Europe),,Atari ST,SHOOT_EM_UP,,Atlantis Software,OTHER_NOT_RATED,,1992,,,,
Apprentice (Europe),,Atari ST,PLATFORM,,Rainbow Arts,OTHER_NOT_RATED,,1990,,,,
Aquanaut (Europe),,Atari ST,SHOOT_EM_UP,,Addictive Games,OTHER_NOT_RATED,,1989,,,,
Arcade Fruit Machine (Europe),,Atari ST,CASINO,,Zeppelin Games,OTHER_NOT_RATED,,1992,,,,
Arcade Mania (Europe) (Unl),,Atari ST,SHOOT_EM_UP,,Arne Standnes,OTHER_NOT_RATED,,1991,,,,
Arcade Trivia Quiz (Europe),,Atari ST,CASINO,,Zeppelin Games,OTHER_NOT_RATED,,1991,,,,
Archer MacLean's Pool (USA),,Atari ST,SPORTS_POOL_AND_DART,,Virgin Mastertronic,OTHER_NOT_RATED,,1992,,,,
Archipelagos (USA),,Atari ST,PUZZLE,,Logotron,OTHER_NOT_RATED,,1989,,,,
Arctic Fox (USA),,Atari ST,SHOOTER,,Electronic Arts,OTHER_NOT_RATED,,1986,,,,
Arctic Moves (Europe) (Disk 1),,Atari ST,SHOOT_EM_UP,,Dinamic,OTHER_NOT_RATED,,1991,,,,
Arctic Moves (Europe) (Disk 2),,Atari ST,SHOOT_EM_UP,,Dinamic,OTHER_NOT_RATED,,1991,,,,
Arena (Europe),,Atari ST,SPORTS_OLYMPIC,,Psygnosis,OTHER_NOT_RATED,,1986,,,,
Arkanoid (Europe),,Atari ST,BREAKOUT,,Imagine,OTHER_NOT_RATED,,1987,,,,
Arkanoid II - Revenge of Doh (Europe),,Atari ST,BREAKOUT,,Imagine,OTHER_NOT_RATED,,1988,,,,
Arkanoid III (Europe) (Unl),,Atari ST,BREAKOUT,,Mario,OTHER_NOT_RATED,,1987,,,,
Armada (USA),,Atari ST,STRATEGY,,ARC,OTHER_NOT_RATED,,1990,,,,
"Armageddon Man, the (Europe)",,Atari ST,STRATEGY,,Martech,OTHER_NOT_RATED,,1988,,,,
Armalyte (Europe),,Atari ST,SHOOT_EM_UP,,Thalamus,OTHER_NOT_RATED,,1991,,,,
