title,series,platform,genre,developer,publisher,rating,modes,year,release_eu,release_jp,release_na,plot
Shōgi no Tatsujin: Master of Syougi,,Neo Geo AES,BOARD_GAMES,"ADK, SNK","ADK, SNK",,SINGLE_PLAYER,1995,1995-10-13,1995-10-13,1995-10-13,
SNK vs. Capcom: SVC Chaos,,Neo Geo AES,FIGHTING,"Capcom, SNK Playmore",SNK Playmore,,"SINGLE_PLAYER, TWO_PLAYERS",2003,2003-11-13,2003-11-13,2003-11-13,
Spinmaster,,Neo Geo AES,PLATFORM,Data East,"Data East, SNK",,"SINGLE_PLAYER, TWO_PLAYERS",1993,1994-02-18,1994-02-18,1994-02-18,
Stakes Winner,Stakes Winner,Neo Geo AES,SPORTS,Saurus,Saurus,,SINGLE_PLAYER,1995,1995-10-27,1995-10-27,1995-10-27,
Stakes Winner 2,Stakes Winner,Neo Geo AES,SPORTS,Saurus,Saurus,,SINGLE_PLAYER,1996,1996-12-13,1996-12-13,1996-12-13,
Street Slam,,Neo Geo AES,SPORTS,Data East,"Data East, SNK",,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-12-09,1994-12-09,1994-12-09,
2020 Super Baseball,,Neo Geo AES,SPORTS,"Pallas, SNK","Pallas, SNK",ESRB_EVERYONE,SINGLE_PLAYER,1991,1991-10-25,1991-10-25,1991-10-25,
The Super Spy,,Neo Geo AES,"ACTION, ROLE_PLAYING",SNK,SNK,,SINGLE_PLAYER,1990,1991-07-01,1991-07-01,1991-07-01,
Thrash Rally,,Neo Geo AES,RACING,Alpha Denshi,"Alpha Denshi, SNK",,SINGLE_PLAYER,1991,1991-12-20,1991-12-20,1991-12-20,
Top Player's Golf,,Neo Geo AES,SPORTS,SNK,SNK,ESRB_EVERYONE,SINGLE_PLAYER,1990,1991-07-01,1991-07-01,1991-07-01,
Twinkle Star Sprites,,Neo Geo AES,SHOOT_EM_UP,ADK,"ADK, SNK",ESRB_EVERYONE,SINGLE_PLAYER,1996,1997-01-31,1997-01-31,1997-01-31,
Viewpoint,,Neo Geo AES,SHOOT_EM_UP,"Aicom, Sammy Corporation","Sammy, SNK",ESRB_EVERYONE,SINGLE_PLAYER,1992,1992-12-11,1992-12-11,1992-12-11,
Voltage Fighter Gowcaizer,,Neo Geo AES,FIGHTING,Technōs Japan Corp,"SNK, Technōs Japan Corp",ESRB_TEEN,SINGLE_PLAYER,1995,1995-10-20,1995-10-20,1995-10-20,
